GROSS_SPA,NET_SPA,REQUESTER_CODE,DOC_TYPE,PROC_NAME,PROC_NATURE,PROC_TYPE,ROLE,DOSSIER_TYPE,COMMITTEE_1
8.81,4.54,AGRI,PA,2017/0035(COD),LEG,COD,AVI,AGRI,AGRI
9.0,4.23,AGRI,AM,2017/0035(COD),LEG,COD,MAIN,JURI,JURI
11.92,4.82,ITRE,AD,2017/0035(COD),LEG,COD,AVI,ITRE,ITRE
10.39,4.57,AFCO,AD,2017/0035(COD),LEG,COD,AVI,AFCO,AFCO
8.38,3.35,INTA,AM,2017/0035(COD),LEG,COD,AVI,INTA,INTA
27.13,11.84,ITRE,AM,2017/0035(COD),LEG,COD,AVI,ITRE,ITRE
10.71,3.97,INTA,AD,2017/0035(COD),LEG,COD,AVI,INTA,INTA
12.29,5.47,ENVI,AD,2017/0035(COD),LEG,COD,AVI,ENVI,ENVI
38.58,17.49,ENVI,AM,2017/0035(COD),LEG,COD,AVI,ENVI,ENVI
5.78,3.29,ECON,AD,2017/0035(COD),LEG,COD,AVI,ECON,ECON
11.83,6.66,ITRE,PA,2017/0035(COD),LEG,COD,AVI,ITRE,ITRE
12.12,7.77,ENVI,PA,2017/0035(COD),LEG,COD,AVI,ENVI,ENVI
9.89,4.37,AGRI,AD,2017/0035(COD),LEG,COD,AVI,AGRI,AGRI
68.58,21.67,DG1-DEPOT,RR,2017/0035(COD),LEG,COD,MAIN,JURI,JURI
11.33,2.8,ENVI,AD,2017/0035(COD),LEG,COD,AVI,ENVI,ENVI
31.09,14.22,AGRI,AM,2017/0035(COD),LEG,COD,AVI,AGRI,AGRI
30.3,13.42,JURI,AM,2017/0035(COD),LEG,COD,MAIN,JURI,JURI
9.86,5.66,JURI,PR,2017/0035(COD),LEG,COD,MAIN,JURI,JURI
10.53,3.15,ITRE,AD,2017/0035(COD),LEG,COD,AVI,ITRE,ITRE
8.72,2.81,AGRI,PA,2017/0035(COD),LEG,COD,AVI,AGRI,AGRI
8.94,3.19,INTA,AD,2017/0035(COD),LEG,COD,AVI,INTA,INTA
10.68,3.13,AFCO,AD,2017/0035(COD),LEG,COD,AVI,AFCO,AFCO
32.33,15.17,DG1-DEPOT,RR,2017/2087(INI),IMPL,INI,MAIN,ENVI,ENVI
25.04,21.06,ITRE,AM,2017/2087(INI),IMPL,INI,AVI,ITRE,ITRE
1.57,1.32,ITRE,PA,2017/2087(INI),IMPL,INI,AVI,ITRE,ITRE
7.76,6.0,ITRE,AD,2017/2087(INI),IMPL,INI,AVI,ITRE,ITRE
6.01,3.9,ENVI,AM,2017/2087(INI),IMPL,INI,MAIN,ENVI,ENVI
62.94,34.26,ENVI,AM,2017/2087(INI),IMPL,INI,MAIN,ENVI,ENVI
12.66,10.85,ENVI,PR,2017/2087(INI),IMPL,INI,MAIN,ENVI,ENVI
