"ID","DOC_TYPE","PROC_TYPE","DOSSIER_TYPE","GROSS_SPA","NET_SPA"
1298782,"RR","DEC","CONT",20.45,7.32
1286152,"PR","DEC","CONT",13.83,8.88
1291460,"AM","DEC","LIBE",4.88,2.01
1295226,"AD","DEC","LIBE",4.66,2.43
1292306,"AM","DEC","CONT",2.63,0.84
1290438,"PA","DEC","LIBE",2.14,1.73
1291464,"AM","DEC","LIBE",6.4,3.05
1294536,"AD","DEC","LIBE",4.81,2.79
1286178,"PR","DEC","CONT",13.43,9.32
1292361,"AM","DEC","CONT",7.4,3.05
1298898,"RR","DEC","CONT",21,9.28
1295149,"PR","DEC","CONT",29.69,22.76
1292363,"AM","DEC","CONT",38.4,14.38
1291465,"AM","DEC","LIBE",23.08,13.31
1294537,"AD","DEC","LIBE",8.7,5.93
1298909,"RR","DEC","CONT",34,10.2
1290440,"PA","DEC","LIBE",2.33,1.77
1292721,"AM","DEC","CONT",5.53,2.23
1286085,"PR","DEC","CONT",15.35,9.6
1298717,"RR","DEC","CONT",16.66,6.89
1301224,"PR","COD","LIBE",35.48,19.01
1285420,"PR","COD","JURI",3.27,1.38
1268032,"AD","COD","JURI",34.04,14.39
1256268,"PA","COD","ECON",87.24,64.93
1267254,"AD","COD","BUDG",29.8,8.41
1266301,"AM","COD","BUDG",37.75,14.61
1264840,"AM","COD","ITRE",230.61,85.64
1265210,"AM","COD","ITRE",94.54,47.71
1265248,"AM","COD","ITRE",116.69,51.63
1264017,"PA","COD","JURI",15.57,11.68
1266169,"AM","COD","JURI",146.02,58.36
1269069,"AD","COD","IMCO",42.11,19.2
1258969,"PA","COD","BUDG",9.75,7.46
1265897,"AD","COD","ECON",100.42,33.06
1260737,"PA","COD","IMCO",27.77,19.78
1265047,"AM","COD","INTA",172.18,75.58
1254882,"PR","COD","ITRE",63.99,40.21
1261781,"PA","COD","INTA",32.79,14.49
1260455,"AM","COD","IMCO",98.59,48.58
1256482,"AM","COD","ECON",72.56,38.62
1271681,"RR","COD","ITRE",109.25,55.64
1267647,"AD","COD","INTA",67.46,23.2
1282420,"AL","COD","JURI",12.96,5.77
1258589,"RR","NLE","CONT",14.94,4.51
1255423,"PR","NLE","CONT",15.09,12.28
1284694,"PR","COD","PECH",77.95,52.99
1287103,"AM","COD","PECH",22.52,9.02
1289061,"RR","COD","PECH",88.73,32.45
1263449,"PR","COD","TRAN",3.79,1.85
1268260,"RR","COD","TRAN",4.96,2
1268202,"AL","COD","BUDG",3.37,3.09
1270483,"AL","COD","BUDG",3.37,0.8
1282315,"AD","COD","EMPL",56.71,25.02
1275176,"PA","COD","ITRE",28.71,15.66
1272476,"PR","COD","IMCO",85.61,43.67
1277654,"AM","COD","ITRE",85.25,32.97
1273551,"AM","COD","IMCO",212.83,89.23
1276038,"AM","COD","IMCO",195.1,70.56
1283991,"RR","COD","IMCO",130.42,54.8
1275033,"AM","COD","EMPL",124.81,50.84
1280418,"AD","COD","ITRE",41.64,18.33
1274061,"PA","COD","EMPL",24.77,11.2
1299933,"PF","COD","IMCO",97.26,83.17
1275875,"PA","COD","ITRE",28.92,15.77
1263330,"NT","","ENVI",2.02,1.89
1281482,"NR","COD","PECH",1.49,0.88
1279484,"RR","COD","PECH",6.84,2.09
1274443,"PR","COD","PECH",5.75,3.5
1281947,"AM","COD","ENVI",127.34,41.85
1282137,"AM","COD","ENVI",105.22,35.06
1281946,"AM","COD","ENVI",188.9,67.35
1278056,"PA","COD","IMCO",6.13,3.01
1279667,"PR","COD","ENVI",102.84,58.57
1284805,"AD","COD","IMCO",35.67,10.48
1288763,"RR","COD","ENVI",88.13,33.09
1279725,"AM","COD","IMCO",122.22,49.12
1279571,"AM","COD","TRAN",353.31,127.5
1272820,"PA","COD","ITRE",52.74,28.43
1283165,"AD","COD","ITRE",49.43,14.93
1283674,"AD","COD","TRAN",87.99,29.29
1278954,"PA","COD","TRAN",44.33,20.96
1283188,"AM","COD","ENVI",109.44,26.24
1283213,"AM","COD","ENVI",70.61,15.34
1279505,"AM","COD","ITRE",122.73,50.1
1279506,"AM","COD","ITRE",15.28,4.21
1271704,"AM","BUI","AFCO",6.99,3.96
1270691,"PA","BUI","TRAN",1.98,1.74
1271929,"AM","BUI","FEMM",25.38,11.62
1270667,"PA","BUI","AFET",1.42,1.19
1271369,"AM","BUI","ITRE",14.07,8.44
1271390,"AM","BUI","CULT",27.35,16.04
1269436,"PA","BUI","AFCO",1.87,1.62
1269873,"PA","BUI","AGRI",1.36,1.09
1272078,"AM","BUI","AGRI",22.23,13.94
1273765,"AD","BUI","AGRI",11.54,9.07
1270273,"AL","BUI","ENVI",8.36,7.07
1273971,"AD","BUI","EMPL",27.2,17.26
1272379,"PR","BUI","BUDG",9.55,7.83
1273136,"AL","BUI","CONT",6.07,4.27
1272424,"AD","BUI","AFCO",5.21,3.8
1272707,"AM","BUI","AFET",20.68,11.22
1271854,"AM","BUI","CULT",2.33,1.46
1273778,"AD","BUI","TRAN",18.04,15.51
1274012,"AL","BUI","REGI",3.83,2.69
1269501,"PA","BUI","CULT",1.78,1.47
1271896,"AM","BUI","TRAN",35.3,20.17
1269945,"PA","BUI","ITRE",1.43,1.17
1276309,"RR","BUI","BUDG",25.67,17.26
1274057,"AM","BUI","BUDG",154.58,74.69
1273787,"AD","BUI","ITRE",6.39,5.17
1274248,"AD","BUI","AFET",10.64,7.72
1273146,"AD","BUI","CULT",7.6,6.54
1289359,"RR","COD","JURI",21.25,8.01
1285612,"AL","COD","JURI",2.82,1.02
1280982,"PR","COD","JURI",15.76,7.86
1283289,"AM","COD","JURI",25.73,9.96
1283152,"CM","COD","JURI",1.7,0.6
1282141,"RR","COD","ENVI",42.76,16.05
