GROSS_SPA,NET_SPA,NET_SUBMITTED,REQUESTER_CODE,FDR_VERSION,DOC_DATE,PE_NO,DOC_TYPE,PROC_NAME,PROC_NATURE,PROC_TYPE,ROLE,DOSSIER_TYPE,COMMITTEE_1
127.78,64.72,64.72,TRAN,3,23-FEB-18,618.251,AM,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
29.57,17.86,17.87,TRAN,5,21-DEC-17,615.504,PR,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
50.66,17.67,17.67,TRAN,6,19-DEC-18,632.718,DT,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
48.76,16.48,16.47,TRAN,2,08-JAN-19,632.81,DT,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
49.66,17.14,17.14,TRAN,2,08-JAN-19,632.806,DT,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
48.56,16.33,16.33,TRAN,3,08-JAN-19,632.798,DT,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
50.66,17.9,17.9,TRAN,2,08-JAN-19,632.809,DT,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
47.26,15.42,15.42,TRAN,2,08-JAN-19,632.811,DT,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
8.98,2.94,2.94,DG1-DEPOT,2,10-JUN-20,650.437,RR,2017/0121(COD),LEG,COD,MAIN,TRAN,TRAN
25.47,11.56,11.56,TRAN,1,13-MAY-20,650.724,AM,2017/0121(COD),LEG,COD,MAIN,TRAN,TRAN
7.48,3.86,4.03,TRAN,1,17-APR-20,650.437,PR,2017/0121(COD),LEG,COD,MAIN,TRAN,TRAN
4.85,4.66,4.66,ECR,1,31-JAN-20,646.994,DV,2017/0121(COD),LEG,COD,MAIN,TRAN,TRAN
3.78,2.98,3.32,ITRE,1,24-MAY-18,622.212,PA,2017/0336(COD),LEG,COD,AVI,ITRE,ITRE
6.01,2.81,2.81,AGRI,1,03-SEP-18,626.975,AM,2017/0336(COD),LEG,COD,AVI,AGRI,AGRI
1.59,0.84,0.84,AGRI,1,06-JUL-18,625.361,PA,2017/0336(COD),LEG,COD,AVI,AGRI,AGRI
2.12,1.2,1.25,CONT,2,04-SEP-18,626.991,PA,2017/0336(COD),LEG,COD,AVI,CONT,CONT
1.99,0.97,0.97,FEMM,4,19-JUN-18,623.659,AD,2017/0336(COD),LEG,COD,AVI,FEMM,FEMM
3.4,1.96,1.96,ENVI,2,27-APR-18,621.057,AD,2017/0336(COD),LEG,COD,AVI,ENVI,ENVI
3.66,2.6,2.59,FEMM,2,19-JUN-18,623.659,PA,2017/0336(COD),LEG,COD,AVI,FEMM,FEMM
2.02,1.54,1.54,BUDG,1,19-JUN-18,623.742,PA,2017/0336(COD),LEG,COD,AHE,BUDG,BUDG
5.59,2.26,2.26,ITRE,1,24-MAY-18,622.212,AD,2017/0336(COD),LEG,COD,AVI,ITRE,ITRE
