GROSS_SPA,NET_SPA,DOC_TYPE,PROC_NATURE,PROC_TYPE,ROLE,DOSSIER_TYPE,COMMITTEE_1
31.47,16.65,AM,INIT,INI,AHE,REGI,REGI
110.85,59.91,AM,INIT,INI,MHE,ITRE,CJ23
140.67,73.06,AM,INIT,INI,MHE,ITRE,CJ23
29.99,16.92,AM,INIT,INI,MHE,ITRE,CJ23
36.39,19.56,AM,INIT,INI,MHE,ITRE,CJ23
1.4,1.19,PA,INIT,INI,AHE,REGI,REGI
8.08,6.91,AD,INIT,INI,AHE,REGI,REGI
2.24,2.01,PA,INIT,INI,AVI,EMPL,EMPL
9.39,4.23,AM,INIT,INI,AVI,BUDG,BUDG
15.65,14.01,PR,INIT,INI,MHE,ITRE,CJ23
43.56,26.28,AM,INIT,INI,AVI,EMPL,EMPL
3.56,2.34,AD,INIT,INI,AVI,BUDG,BUDG
154.44,73.43,AM,LEG,COD,MAIN,TRAN,TRAN
54.1,42.87,PA,LEG,COD,AVI,IMCO,IMCO
44.79,20.1,AM,LEG,COD,AVI,IMCO,IMCO
54.47,15.62,AD,LEG,COD,AVI,REGI,REGI
216.42,92.34,AM,LEG,COD,MAIN,TRAN,TRAN
115.7,51.71,AM,LEG,COD,MAIN,TRAN,TRAN
96.27,46.02,PR,LEG,COD,MAIN,TRAN,TRAN
51.45,20.78,AM,LEG,COD,AVI,REGI,REGI
189.16,85.15,AM,LEG,COD,MAIN,TRAN,TRAN
70.94,37.59,AM,LEG,COD,MAIN,TRAN,TRAN
59.59,19.19,AD,LEG,COD,AVI,IMCO,IMCO
22.46,10.47,PA,LEG,COD,AVI,REGI,REGI
4.28,2.73,AM,LEG,COD,MAIN,TRAN,TRAN
198.0,75.97,RR,LEG,COD,MAIN,TRAN,TRAN
2.97,2.38,NT,LEG,COD,MAIN,TRAN,TRAN
26.32,10.59,PR,LEG,COD,MAIN,LIBE,LIBE
52.67,23.55,AM,LEG,COD,MAIN,LIBE,LIBE
10.25,3.65,RR,MOFU,BUD,MAIN,BUDG,BUDG
1.64,0.97,AM,MOFU,BUD,MAIN,BUDG,BUDG
9.25,5.06,PR,MOFU,BUD,MAIN,BUDG,BUDG
4.12,3.86,AL,LEG,COD,AHE,JURI,JURI
76.63,43.26,PR,LEG,COD,MHE,ENVI,ENVI
165.57,66.51,RR,LEG,COD,MHE,ENVI,ENVI
31.22,10.96,AD,LEG,COD,AVI,ITRE,ITRE
17.23,9.07,PA,LEG,COD,AVI,ITRE,ITRE
228.9,106.17,AM,LEG,COD,MHE,ENVI,ENVI
175.4,84.66,AM,LEG,COD,MHE,ENVI,ENVI
161.0,77.06,AM,LEG,COD,MHE,ENVI,ENVI
153.73,72.2,AM,LEG,COD,MHE,ENVI,ENVI
180.14,81.37,AM,LEG,COD,AVI,ITRE,ITRE
143.8,68.55,AM,LEG,COD,AVI,ITRE,ITRE
51.36,25.6,AM,LEG,COD,AVI,ITRE,ITRE
185.99,75.49,RR,LEG,COD,MHE,ENVI,ENVI
158.82,68.93,AM,LEG,COD,AHE,ITRE,ITRE
79.33,35.36,AM,LEG,COD,AHE,ITRE,ITRE
94.76,38.07,PR,LEG,COD,MHE,ENVI,ENVI
1.96,1.31,AL,LEG,COD,AVI,AGRI,AGRI
3.25,2.22,AL,LEG,COD,AVI,BUDG,BUDG
59.83,18.98,AD,LEG,COD,AHE,ITRE,ITRE
24.9,13.25,PA,LEG,COD,AHE,ITRE,ITRE
144.07,61.01,AM,LEG,COD,MHE,ENVI,ENVI
91.13,38.66,AM,LEG,COD,MHE,ENVI,ENVI
121.77,51.36,AM,LEG,COD,MHE,ENVI,ENVI
145.2,62.69,AM,LEG,COD,MHE,ENVI,ENVI
98.64,48.32,AM,LEG,COD,MHE,ENVI,ENVI
95.46,45.72,AM,LEG,COD,MHE,ENVI,ENVI
70.57,26.66,AM,LEG,COD,MHE,ENVI,ENVI
98.86,39.93,AM,LEG,COD,MHE,ENVI,ENVI
110.44,47.73,AM,LEG,COD,MHE,ENVI,ENVI
78.84,35.76,AM,LEG,COD,MHE,ENVI,ENVI
93.73,44.48,AM,LEG,COD,MHE,ENVI,ENVI
69.04,35.54,AM,INIT,INI,MAIN,LIBE,LIBE
2.79,1.72,AM,INIT,INI,MAIN,LIBE,LIBE
44.7,23.81,AM,INIT,INI,MAIN,LIBE,LIBE
1.63,1.26,PA,INIT,INI,AVI,FEMM,FEMM
12.84,9.42,AD,INIT,INI,AVI,FEMM,FEMM
14.83,9.91,RR,INIT,INI,MAIN,LIBE,LIBE
8.85,7.24,PR,INIT,INI,MAIN,LIBE,LIBE
28.12,16.53,AM,INIT,INI,AVI,FEMM,FEMM
0.77,0.39,AM,BUD,BUD,MAIN,BUDG,BUDG
3.17,1.92,PR,BUD,BUD,MAIN,BUDG,BUDG
3.84,1.31,RR,BUD,BUD,MAIN,BUDG,BUDG
3.97,3.47,RE,DECL,RSP,MAIN,PETI,PETI
70.27,30.32,AM,LEG,COD,MHE,ENVI,ENVI
70.86,33.91,AM,LEG,COD,MHE,ENVI,ENVI
125.12,45.1,AM,LEG,COD,MHE,ENVI,ENVI
97.23,54.13,PR,LEG,COD,MHE,ENVI,ENVI
120.59,48.35,RR,LEG,COD,MHE,ENVI,ENVI
123.18,52.59,AM,LEG,COD,AHE,AGRI,AGRI
67.37,20.88,AM,LEG,COD,AHE,AGRI,AGRI
81.86,24.37,AD,LEG,COD,AHE,AGRI,AGRI
20.98,7.82,AM,LEG,COD,MHE,ENVI,ENVI
180.04,69.07,AM,LEG,COD,AHE,AGRI,AGRI
136.68,52.32,AM,LEG,COD,AHE,AGRI,AGRI
21.47,9.81,PA,LEG,COD,AHE,AGRI,AGRI
0.8,0.19,AB,BUD,BUD,MAIN,BUDG,BUDG
1.7,0.38,AB,BUD,BUD,MAIN,BUDG,BUDG
0.62,0.14,AB,BUD,BUD,MAIN,BUDG,BUDG
0.71,0.16,AB,BUD,BUD,MAIN,BUDG,BUDG
0.45,0.1,AB,BUD,BUD,MAIN,BUDG,BUDG
4.21,3.37,PA,BUD,BUD,AVI,ENVI,ENVI
2.71,2.12,PA,BUD,BUD,AVI,IMCO,IMCO
23.83,19.85,PR,BUD,BUD,MAIN,BUDG,BUDG
4.45,2.16,AM,BUD,BUD,AVI,AFCO,AFCO
13.44,5.81,AM,BUD,BUD,AVI,ENVI,ENVI
11.52,6.36,AD,BUD,BUD,AVI,AFET,AFET
6.4,4.18,AD,BUD,BUD,AVI,DEVE,DEVE
3.71,1.89,AD,BUD,BUD,AVI,AFCO,AFCO
7.09,5.67,AD,BUD,BUD,AVI,ECON,ECON
5.56,5.16,AL,BUD,BUD,AVI,ITRE,ITRE
12.54,8.38,AD,BUD,BUD,AVI,EMPL,EMPL
1.76,1.39,PA,BUD,BUD,AVI,AFCO,AFCO
1.86,1.62,PA,BUD,BUD,AVI,AFET,AFET
1.4,0.72,PA,BUD,BUD,AVI,AGRI,AGRI
9.58,5.13,AD,BUD,BUD,AVI,FEMM,FEMM
8.97,5.75,AM,BUD,BUD,AVI,DEVE,DEVE
2.02,1.69,PA,BUD,BUD,AVI,CULT,CULT
7.88,4.18,AD,BUD,BUD,AVI,TRAN,TRAN
14.71,8.18,AD,BUD,BUD,AVI,AGRI,AGRI
0.64,0.13,AB,BUD,BUD,MAIN,BUDG,BUDG
